Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
Africa Eastern and Southern,2020,63.3138559861117,30.1633636410037,8.21608578809206,-0.233142869790347,20.28787157284694,80.6638990530863,1363.54074100996,67419075.89952278,63.1716992030603,71.9691619873047,1480008.9522204176,72.7875296287956
Afghanistan,2020,62.575,97.0667114257813,8.95965733131822,0.184816864051446,19.62092483051083,87.0,516.866552182696,188941973.947349,73.974,85.70658924715053,315446.39645403065,66.0
Africa Western and Central,2020,57.2263727312399,25.459506014076,9.04713161784551,0.164401518506531,21.39498429854973,80.2640328259707,1683.43639098491,37775555.5555556,52.142168975222,70.1505279541016,492512.5915251542,64.9888882816197
Angola,2020,62.261,2.058440828111088,10.5737657138199,0.168810207045683,19.134397536666484,58.0,1603.99347745326,-4512744371.95459,33.175,41.546836392934125,121137.6053273846,44.0
Albania,2020,76.989,100.0,25.7412007732002,0.331077483402973,65.70647705480383,98.0,5332.16047456847,-250229603.313392,37.888,100.732406616211,0.0,91.0
Andorra,2020,67.14,100.0,75.3149823002573,0.0,74.54353780082658,86.66148070118572,37207.4938608348,307198029.777231,12.084,82.86272015990471,109997.10996138956,98.0
Arab World,2020,70.9233595872331,81.6102983169941,13.1090782991728,1.23105219060904,60.74144523217046,88.4491339075228,5545.45524618957,307198029.777231,40.9123809889593,87.3351211547852,3210224.5298229754,82.6435737902075
United Arab Emirates,2020,78.946,100.0,18.342743370990064,5.41882459280636,68.07255759933014,86.0,37629.1741687956,-462899931.926481,12.952,104.711196899414,58659.28040551733,99.0
Argentina,2020,75.892,100.0,5.57910473210007,0.335237959463101,69.60670123976979,75.0,8496.42414176374,-10004439555.5946,7.889,101.345207214355,110931.75414959528,77.0
Armenia,2020,72.173,100.0,16.4585226484536,-0.21578485853147,56.37891310806776,99.0,4505.86736397124,-196251235.661999,36.687,93.1652908325195,52129.77777777775,94.0
American Samoa,2020,64.611,96.2145561944871,0.0,0.0,31.051241120384475,74.83322209862808,15501.5263374397,-147716015.91965866,12.847,107.02734091716468,38239.103995621204,90.1935483870968
Antigua and Barbuda,2020,78.841,100.0,62.4870001322643,0.174054275244881,42.15496853307411,74.83322209862808,14787.6357752901,-24688185.1851852,75.567,104.60774795357213,114.82086909140344,89.0
Australia,2020,83.2,100.0,6.68080071467837,0.625017123335484,74.34017772735888,74.83322209862808,51720.3707634401,-29834428207.5345,13.759,79.81454306895455,52610.09886141517,93.0
Austria,2020,81.1926829268293,100.0,27.6685908401506,0.174756018006983,65.26461388866369,90.0,48809.2268762243,3859137993.3074,41.252,99.6652603149414,18502.494152466767,95.0
Azerbaijan,2020,66.868,100.0,18.9301524840138,1.93305225681025,53.975987899413894,94.0,4229.91064904503,-270117647.058824,43.603,99.5177993774414,84616.11111111107,82.0
Burundi,2020,61.566,3.4841194152832,13.016909139689062,0.0745928632996435,14.151665181103624,83.0,216.826741341377,14544795.9614127,86.292,52.9452705383301,63426.26905583637,90.0
Belgium,2020,80.6951219512195,100.0,45.6776101606228,-3.59539134090613,71.14542851740816,60.54634146341459,45517.7949301847,5358613045.1362,1.92100000000001,87.27664585687637,16856.962551490404,96.0
Benin,2020,60.088,18.1965103149414,8.30735532038452,0.137537146818062,21.870645274559024,88.0,1237.94929535039,-162707974.075187,51.585,62.4214897155762,10685.951249057194,65.0
Burkina Faso,2020,59.731,0.0,9.8723668332686,-0.0398072903552731,15.659978932015179,98.0,833.244342636324,-1268777979.13778,69.393,64.8891677856445,12582.313784197642,88.0
Bangladesh,2020,71.968,95.2119674682617,3.72997211981244,0.00128579150479311,17.583769548658893,99.0,2233.30552399269,15476524899.7277,61.823,98.48849669964238,260008.093151927,97.0
Bulgaria,2020,73.6585365853659,100.0,18.7368429267817,0.622506104847293,71.67183642600548,97.0,10129.8129597638,-2435822408.66981,24.314,87.8763427734375,29872.22465792671,88.0
Bahrain,2020,79.174,100.0,38.40622133096531,-0.590533884298239,66.29158090916485,99.96985657564215,23501.9194628168,-2459042553.19149,10.494,98.80497190781232,23638.991617983324,99.0
"Bahamas, The",2020,72.677,100.0,27.2577414897729,0.616892640342286,64.22769089484905,99.96985657564215,23862.7109929122,-439500000.0,16.755,115.40466872681964,967.9215686274547,87.0
Bosnia and Herzegovina,2020,76.225,100.0,9.9561583384964,0.363812634076155,62.21406423034341,95.0,6012.06276705855,-113046010.483401,50.98,99.36894444056907,0.0,68.0
Belarus,2020,72.4572195121951,100.0,22.2166363836736,0.13475392229547,65.90898090376254,97.0,6542.79749130553,-2600426299.39334,20.517,98.5561828613281,187530.0,97.0
Belize,2020,72.854,96.074462890625,28.6662094403518,0.212893838021635,49.983277962347756,76.0,5266.87616004213,-58650000.0,53.975,104.456230163574,1453.4682112842493,82.0
Bermuda,2020,81.136,100.0,26.3254090466454,-0.163056981359625,21.970653377630015,81.50938605731574,107791.886435134,203082000.0,0.0,100.85155718521787,536.3944075714244,46.12921697323327
Bolivia,2020,64.467,91.8135147094727,5.9336031957395,-0.303383369425508,55.526661804824016,82.0,3068.81255507604,-416882563.65408,29.877,92.8816909790039,90063.73866660753,74.0
Brazil,2020,74.009,100.0,5.50097706865108,-0.23935864296155,61.15370175296425,67.0,6794.48915877166,-30796042830.54,12.927,40.0515899658194,858471.4762951285,79.0
Barbados,2020,77.393,100.0,45.84119008080597,0.16053769425061,45.970018637063504,71.21959322583257,16643.8065787177,-67500000.0,68.809,96.0407562255859,684.5686274509803,89.0
Brunei Darussalam,2020,74.795,100.0,12.9709701556705,-0.36014292904556555,41.062274802150114,99.0,27179.4119853371,361771761.977241,21.75,104.958282470703,10861.442722885404,99.0
Bhutan,2020,71.609,100.0,15.4938438512414,0.0,24.920641223023495,98.0,3009.92417072191,-142854534.977247,57.684,82.0741958618164,11437.537004144455,93.0
Botswana,2020,65.647,26.3828983306885,11.1759024455899,-0.457176518564839,32.41682467655255,98.0,5863.20324072216,-248738037.045444,29.123,117.77625112054511,11214.818168766767,87.0
Central African Republic,2020,54.604,2.25286674499512,4.036197791439918,0.12635169296400406,18.55323717688998,61.0,435.469251582856,130067085.196652,57.802,38.759195992316336,7549.728590039536,41.0
Canada,2020,81.6704878048781,100.0,12.5236169305478,2.80789981833681,73.46651270831649,48.58171947167989,43258.2638715601,-18374492710.9139,18.438,129.1671969095869,62876.516548685264,90.0
Central Europe and the Baltics,2020,76.087716844628,100.0,20.4518748401659,10.7846912118855,68.48398704597366,88.2630836418533,16293.8000324588,-1832449755.0245,37.438545756893,93.8377075195313,439841.8187209442,87.50659455969
Switzerland,2020,83.0,100.0,35.2159879250065,-18.0100146066295,68.07226318774815,82.38527426433996,85656.322666307,-26962200229.0056,26.085,99.5712432861328,24356.126679992478,97.0
Channel Islands,2020,81.264,100.0,0.0,2.997240344197934,34.36220727655791,82.38527426433996,112225.8812520355,-1320182364.5873413,69.037,40.18380814568536,31456.662411237834,69.00227370227367
Chile,2020,79.377,100.0,7.38165123932192,2.65315597660584,67.78195986278797,98.0,13094.4595313609,-15894402496.5966,12.273,101.475112915039,117195.51690207724,91.0
China,2020,78.077,100.0,4.15516510787552,1.04659736769215,34.25490640952921,99.0,10408.6697561349,-117605205193.601,38.572,91.30698165548995,2760217.5459133536,99.0
Cote d'Ivoire,2020,59.032,43.1361083984375,6.31481460341751,0.00216561889984603,24.588561164681437,91.0,2288.11949762033,-1846407503.13593,48.294,81.4359588623047,44474.867406977806,66.0
Cameroon,2020,60.833,24.9756126403809,9.38363784554169,0.207035429344481,25.916144018583054,80.0,1539.13055856256,-884316157.79397,42.44,69.53346566694825,28849.15320092335,62.0
"Congo, Dem. Rep.",2020,59.739,1.0,5.81939576466266,0.305512178453648,17.772071415066307,83.0,524.666675441091,-1272871344.69026,54.362,81.2405395507813,157163.9327588966,62.0
"Congo, Rep.",2020,63.785,14.7540216445923,12.1665472784402,-9.35976470890606,24.45655673500255,72.0,1838.44813852491,-1571808704.694,32.171,65.088537356151,10961.15694923776,68.0
Colombia,2020,74.769,100.0,5.93767134255368,0.623800307024731,60.187696837101385,89.0,5307.21522798919,-2458013178.08777,18.575,103.751747131348,549524.877008535,90.0
Comoros,2020,64.166,81.3364028930664,12.34803424272,0.011556395262753,19.125924425357198,91.0,1519.58682298786,5909093.56848019,70.62,73.56303631810465,0.0,89.0
Cabo Verde,2020,74.808,93.5137023925781,30.1198146213535,0.232427307479108,28.585965480917366,98.0,2924.10180677162,-40944015.0750498,33.348,117.38310901701243,569.3118186181528,95.0
Costa Rica,2020,79.277,99.7319793701172,18.2796080179908,0.738019230060647,62.697974232233946,99.0,12132.8768848243,-3501246462.26395,19.229,104.592140197754,10860.778301886778,95.0
Caribbean small states,2020,72.5792038787508,98.0586466208273,24.3755223987171,0.290010038546349,47.123178769543756,81.00999378764561,8851.42495915637,-40770807.0048745,48.3956270854914,90.52689208469575,16245.38197259004,86.8690213103749
Cuba,2020,77.567,100.0,33.4918981954485,-0.1850594653575044,57.70437025632714,99.0,9499.59020230432,-1226617321.8754196,22.806,95.3008804321289,28189.00950845331,98.0
Curacao,2020,70.02,100.0,49.7989593722041,0.275237463678503,22.101137130972575,97.24473975636765,16109.8617501685,116089385.47486,10.938,66.6103820800781,262388.1238197256,76.03527536936508
Cayman Islands,2020,69.1921951219512,100.0,76.9036427958083,5.91511321501675,22.101137130972575,97.24473975636765,83329.4587744645,-1447873034.9214,0.0,89.32201824729259,262388.1238197256,76.03527536936508
Cyprus,2020,81.391,100.0,117.951352490023,-138.517638771284,70.63179915187857,97.24473975636765,28036.189453125,-1758023643.63221,33.179,100.368499755859,13990.293399155198,86.0
Czechia,2020,78.2268292682927,100.0,19.387115923263,0.848582573038227,72.04445884990423,101.29166666666663,22992.8793833348,-12264710634.3103,25.939,100.551902770996,4485.4188034189865,94.0
Germany,2020,81.0414634146342,100.0,16.8552242988865,3.56349006802652,68.48870701996066,92.42156862745094,46772.8253507545,114524577256.031,22.547,98.5695571899414,122838.81751720235,97.0
Djibouti,2020,62.694,24.7941417694092,44.7571913841426,0.492889822320939,34.3212354482348,77.0,2917.9962809563,-98564604.070425,21.938,63.0319709777832,15353.578040362976,62.0
