Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
Africa Eastern and Southern,2021,62.4545852699516,99.05910533163895,8.40330090932964,-0.0413492810222333,20.58711746320614,74.3339094100144,1549.77272965144,67419075.89952278,62.6763025060419,69.38575430119283,1497406.6688912734,68.755015069063
Afghanistan,2021,61.982,8.62311031174243,7.480535680186392,0.208231879440378,19.970369770142952,84.0,368.754614175459,124061713.472655,73.686,43.3848991394043,321503.1216299571,63.0
Africa Western and Central,2021,56.9886567820139,26.45264529556539,8.33175182847604,0.380089818707176,21.74921333928569,80.8328821685507,1757.03062622138,37775555.5555556,51.545193730082,69.95322505463946,499030.56896669976,66.1954152960071
Angola,2021,61.643,2.058440828111088,10.5985459348107,-1.56869930879443,19.468163033789892,56.0,1953.53375721508,-5323939868.25348,32.54,53.548999786377,121323.11073317804,36.0
Albania,2021,76.463,100.0,33.4866062691997,0.273565683666411,66.41568214353242,99.0,6492.87201224634,-249598404.173107,37.031,98.1558303833008,0.0,87.0
Andorra,2021,67.14,100.0,0.0,-0.24645464349301704,75.06397374604978,86.66148070118572,42137.3272710372,73085579.54606152,12.142,91.5860900878906,109997.10996138956,99.0
Arab World,2021,70.814483021063,85.71869389581525,12.7423923689443,1.75815023725106,61.4636874282553,86.165094721196,6271.31900080308,307198029.777231,40.7051135330233,91.71278615708047,3221300.8385882005,82.2851054875242
United Arab Emirates,2021,78.71,100.0,18.342743370990064,5.43247631731541,68.68241903681496,99.0,44315.5541834116,307198029.777231,12.701,110.99974198649534,58721.6099214807,99.0
Argentina,2021,75.39,102.7976728768399,4.6178609854266,0.279647631437025,70.30347621748638,81.0,10636.1201956183,-9815444429.82313,7.771,106.34026177920896,111676.22897593607,81.0
Armenia,2021,72.043,66.03261674173336,22.1737276380687,0.177425970099492,56.91779974610358,98.0,4966.51347122366,-406357747.749411,36.569,91.8196868896484,52425.32402846194,94.0
American Samoa,2021,64.611,98.5339736938477,0.0,0.08475632927836951,31.051241120384475,74.83322209862808,15743.3107582991,-147716015.91965866,12.831,108.263801574707,38239.103995621204,90.1935483870968
